"quad","year","trackID","area","x","y","allEdge","totCover","age"
"Q1",2007,"1",170.180804534591,8.46770666,94.71999023,0,314.017179443621,NA
"Q1",2007,"10",0.25,12.640977,10.297002,0,314.017179443621,NA
"Q1",2007,"11",0.250000000000001,62.911911,16.117847,0,314.017179443621,NA
"Q1",2007,"12",0.25,56.03273,21.832858,0,314.017179443621,NA
"Q1",2007,"13",0.25,67.568586,27.547869,0,314.017179443621,NA
"Q1",2007,"14",0.25,10.418472,48.608745,0,314.017179443621,NA
"Q1",2007,"2",26.9677134134685,26.29763155,90.77139142,0,314.017179443621,NA
"Q1",2007,"3",4.07475532694102,13.9989134,78.66236894,0,314.017179443621,NA
"Q1",2007,"4",57.580312744695,18.47949097,4.76344848,0,314.017179443621,NA
"Q1",2007,"5",19.7233033386635,65.31130587,36.34365944,0,314.017179443621,NA
"Q1",2007,"6",28.6379368372655,86.77898507,6.0805854,0,314.017179443621,NA
"Q1",2007,"7",5.1023532479965,98.94478963,32.62672555,1,314.017179443621,NA
"Q1",2007,"8",0.25,72.75443,1.618651,1,314.017179443621,NA
"Q1",2007,"9",0.25,37.935194,2.041985,1,314.017179443621,NA
"Q1",2008,"1",43.3505824503815,5.01587758,92.29287617,0,133.575685215297,2
"Q1",2008,"11",6.69974070661402,63.35299395,15.84346671,0,133.575685215297,2
"Q1",2008,"12",0.5,56.3630075,22.527301,0,133.575685215297,2
"Q1",2008,"2",34.294582362038,20.00139736,81.93620396,0,133.575685215297,2
"Q1",2008,"3",0.25,23.028468,52.71919,0,133.575685215297,1
"Q1",2008,"4",23.9275871000755,19.30880107,4.47294314,0,133.575685215297,2
"Q1",2008,"5",0.25,59.617895,32.516439,0,133.575685215297,2
"Q1",2008,"6",19.4956422692455,87.91890123,6.02301574,0,133.575685215297,2
"Q1",2008,"7",4.30755032694249,99.32813395,31.01777882,1,133.575685215297,2
"Q1",2008,"8",0.25,71.889195,1.089938,1,133.575685215297,2
"Q1",2008,"9",0.25,36.048019,0.266863,1,133.575685215297,2
"Q1",2009,"1",122.280927460094,8.44426804,91.96230714,0,280.152112545701,3
"Q1",2009,"12",21.5089806314675,56.28239614,21.82927655,0,280.152112545701,3
"Q1",2009,"2",16.2424733261355,26.54026379,89.33602278,0,280.152112545701,3
"Q1",2009,"3",0.25,23.772846,55.360798,0,280.152112545701,2
"Q1",2009,"4",17.3455483325175,17.94363692,4.39623572,0,280.152112545701,3
"Q1",2009,"5",68.671739178671,66.44691646,33.65166279,0,280.152112545701,3
"Q1",2009,"6",23.4765242176475,86.32068146,6.54578037,0,280.152112545701,3
"Q1",2009,"7",4.98504696277648,99.00073432,33.19043315,1,280.152112545701,3
"Q1",2009,"8",0.25,71.176132,1.312832,1,280.152112545701,3
"Q1",2009,"9",5.140872436392,35.72436183,0.88711306,1,280.152112545701,3
"Q1",2010,"1",67.304911851793,10.33081979,89.5027566,0,286.802881912684,4
"Q1",2010,"12",17.913731339096,57.47456971,17.87641238,0,286.802881912684,4
"Q1",2010,"2",6.28635963958899,29.27568263,94.32930602,0,286.802881912684,4
"Q1",2010,"3",0.25,23.115892,54.952208,0,286.802881912684,3
"Q1",2010,"4",45.637267451884,17.650558,3.18234658,0,286.802881912684,4
"Q1",2010,"5",114.611239394198,66.46162891,33.76109061,0,286.802881912684,4
"Q1",2010,"6",15.219774062958,83.06504694,7.03429947,0,286.802881912684,4
"Q1",2010,"7",14.457123084392,97.16278588,32.10982426,0,286.802881912684,4
"Q1",2010,"9",5.1224750887745,34.14504109,1.04699401,1,286.802881912684,4
"Q1",2011,"1",23.060007632103,7.28687676,88.68499932,0,136.383914777507,5
"Q1",2011,"12",18.34479069319,56.83666104,25.14893736,0,136.383914777507,5
"Q1",2011,"2",11.498961599773,31.00805036,93.40895896,0,136.383914777507,5
"Q1",2011,"4",1.817413156763,14.51213923,3.36193187,0,136.383914777507,5
"Q1",2011,"5",68.9147329097915,67.45670884,30.55422275,0,136.383914777507,5
"Q1",2011,"6",11.7693966505945,85.74617046,1.1232892,1,136.383914777507,5
"Q1",2011,"7",0.25,48.321976,9.860565,0,136.383914777507,1
"Q1",2011,"8",0.25,47.210724,10.654317,0,136.383914777507,1
"Q1",2011,"9",0.478612135291999,40.62278867,6.02317315,0,136.383914777507,5
"Q1",2012,"1",27.8929280973465,3.24826174,93.66376377,0,144.732874081772,6
"Q1",2012,"10",0.750322229987005,25.80768668,87.5450085,0,144.732874081772,1
"Q1",2012,"12",6.48243576035999,55.63522835,20.0165814,0,144.732874081772,6
"Q1",2012,"2",10.67166172417,29.42625881,96.30833378,0,144.732874081772,6
"Q1",2012,"4",11.9011083259695,17.34617456,3.76448623,0,144.732874081772,6
"Q1",2012,"5",45.5892446210555,64.92742064,33.42308064,0,144.732874081772,6
"Q1",2012,"6",17.4964788596505,84.02584553,3.07762395,0,144.732874081772,6
"Q1",2012,"7",16.5314718006845,97.2498106,32.23444391,0,144.732874081772,6
"Q1",2012,"9",7.4172226625485,33.56388547,2.05874799,1,144.732874081772,6
"Q1",2013,"1",55.082864225645,3.58418433,93.34574476,0,196.778258273455,7
"Q1",2013,"11",0.25,95.204855,44.601954,0,196.778258273455,1
"Q1",2013,"12",8.584171272485,64.62835936,18.41409447,0,196.778258273455,7
"Q1",2013,"13",0.25,50.407857,4.096884,1,196.778258273455,1
"Q1",2013,"14",0.25,39.3092,27.199527,0,196.778258273455,1
"Q1",2013,"15",0.249999999999998,37.599135,31.927353,0,196.778258273455,1
"Q1",2013,"2",15.612125040412,28.74146408,92.06869537,0,196.778258273455,7
"Q1",2013,"5",68.47069563248,66.75313817,34.83407602,0,196.778258273455,7
"Q1",2013,"6",0.75,86.643353,6.57815433,0,196.778258273455,7
"Q1",2013,"7",37.628044642888,97.43078029,31.92897022,0,196.778258273455,7
"Q1",2013,"9",9.65035745954499,33.87660001,3.54692516,0,196.778258273455,7
"Q1",2014,"1",58.786777324799,4.09646683,94.39074432,0,126.130998664409,8
"Q1",2014,"11",0.25,94.109418,45.423858,0,126.130998664409,2
"Q1",2014,"12",7.062933127889,59.987621,21.00900153,0,126.130998664409,8
"Q1",2014,"14",0.25,34.776487,27.299864,0,126.130998664409,2
"Q1",2014,"16",0.25,30.080123,58.388468,0,126.130998664409,1
"Q1",2014,"17",0.25,23.692255,9.420507,0,126.130998664409,1
"Q1",2014,"18",0.25,44.499944,12.086291,0,126.130998664409,1
"Q1",2014,"19",0.25,46.285885,13.475357,0,126.130998664409,1
"Q1",2014,"2",21.708706262549,32.14132066,95.2804129,0,126.130998664409,8
"Q1",2014,"4",1,18.83041625,4.10926925,0,126.130998664409,8
"Q1",2014,"5",35.572581949172,65.87036455,35.03166096,0,126.130998664409,8
