"quad","year","trackID","area","x","y","allEdge","totCover","age"
"Q1",2007,"1",41.964790136813,13.87217574,45.75009396,0,58.762963132329,NA
"Q1",2007,"2",16.548172995516,97.06380049,97.30222347,1,58.762963132329,NA
"Q1",2007,"3",0.25,82.702783,67.235449,0,58.762963132329,NA
"Q1",2008,"1",15.0782404714965,14.88021352,78.97660401,0,44.618080564604,2
"Q1",2008,"10",0.25,68.212255,94.343543,0,44.618080564604,1
"Q1",2008,"11",0.25,25.316316,6.126437,0,44.618080564604,1
"Q1",2008,"2",20.1648104627255,95.5194856,91.89834454,0,44.618080564604,2
"Q1",2008,"3",5.228740045951,23.16124536,74.90770167,0,44.618080564604,1
"Q1",2008,"4",2.396289584431,30.82350238,4.41204552,0,44.618080564604,1
"Q1",2008,"5",0.25,23.776718,8.273138,0,44.618080564604,1
"Q1",2008,"6",0.25,4.845993,22.789189,0,44.618080564604,1
"Q1",2008,"7",0.25,34.551519,27.203864,0,44.618080564604,1
"Q1",2008,"8",0.25,36.871094,27.203864,0,44.618080564604,1
"Q1",2008,"9",0.25,4.172568,48.977939,1,44.618080564604,1
"Q1",2009,"1",31.5724765467805,11.70113961,45.2464214,0,37.660875891224,3
"Q1",2009,"2",6.08839934444349,94.16671269,98.29108466,1,37.660875891224,3
"Q1",2010,"1",26.823020271106,10.18546515,47.18030956,0,83.546149106801,4
"Q1",2010,"12",2.81452355471751,40.68732231,47.42425558,0,83.546149106801,1
"Q1",2010,"13",2.7942229381685,44.41092912,14.3208607,0,83.546149106801,1
"Q1",2010,"14",2.4084603147775,8.33226769,10.03455962,0,83.546149106801,1
"Q1",2010,"15",12.073942852016,4.44293252,1.07406411,1,83.546149106801,1
"Q1",2010,"16",6.268596396234,15.28955501,12.88309775,0,83.546149106801,1
"Q1",2010,"17",3.372859045621,60.45484323,44.86974979,0,83.546149106801,1
"Q1",2010,"18",10.51702877806,77.81372166,15.08946084,0,83.546149106801,1
"Q1",2010,"19",0.25,44.643168,20.967653,0,83.546149106801,1
"Q1",2010,"2",4.46161213112498,95.03131982,91.84295249,0,83.546149106801,4
"Q1",2010,"7",11.7618828249755,33.4814057,28.78866169,0,83.546149106801,3
"Q1",2011,"1",45.7447671836795,9.64775685,46.0979893,0,118.353660280803,5
"Q1",2011,"12",4.8457198368245,38.61771846,45.54062861,0,118.353660280803,2
"Q1",2011,"13",8.2592284711425,42.72719472,11.51162302,0,118.353660280803,2
"Q1",2011,"14",1.415494692509,6.75031219,10.09791515,0,118.353660280803,2
"Q1",2011,"16",11.333749063659,13.23036822,12.46876658,0,118.353660280803,2
"Q1",2011,"17",4.7058777413355,61.7867121,43.68322934,0,118.353660280803,2
