"quad","year","trackID","area","x","y","allEdge","totCover","age","Treatment","inARTR"
"Q47",2011,1,6.507777595783,0.58764006,57.54230678,1,253.941326844683,NA,"No_shrub",0
"Q47",2011,10,6.20999272323049,43.68970281,61.95683345,0,253.941326844683,NA,"No_shrub",0
"Q47",2011,11,9.0899052528035,61.42546243,55.22509631,0,253.941326844683,NA,"No_shrub",1
"Q47",2011,12,7.07532905626051,95.97285279,21.8145352,0,253.941326844683,NA,"No_shrub",0
"Q47",2011,13,15.9416064386805,74.28554009,19.83716554,0,253.941326844683,NA,"No_shrub",0
"Q47",2011,14,6.78364045393899,5.93638078,86.8761701,0,253.941326844683,NA,"No_shrub",1
"Q47",2011,15,8.70488253883148,11.19639097,74.90437134,0,253.941326844683,NA,"No_shrub",1
"Q47",2011,16,10.2731791147995,21.59748059,85.78087541,0,253.941326844683,NA,"No_shrub",0
"Q47",2011,17,2.19590887034049,25.58206118,90.89822782,0,253.941326844683,NA,"No_shrub",1
"Q47",2011,18,0.813803718927002,22.75020659,72.37128082,0,253.941326844683,NA,"No_shrub",1
"Q47",2011,19,2.436548404193,38.60115592,97.10627113,1,253.941326844683,NA,"No_shrub",1
"Q47",2011,2,8.53959079920401,17.76633895,43.32134731,0,253.941326844683,NA,"No_shrub",1
"Q47",2011,20,5.681068875465,49.94577365,98.00359203,0,253.941326844683,NA,"No_shrub",1
"Q47",2011,21,3.5148160313815,72.19498431,92.00340101,0,253.941326844683,NA,"No_shrub",1
"Q47",2011,22,81.6070002628785,92.43741377,52.10917918,0,253.941326844683,NA,"No_shrub",0
"Q47",2011,24,0.480309705422501,29.81633809,51.38661957,0,253.941326844683,NA,"No_shrub",1
"Q47",2011,25,1.4564860969025,94.67648415,26.92957561,0,253.941326844683,NA,"No_shrub",0
"Q47",2011,26,0.25,70.181772,93.207146,0,253.941326844683,NA,"No_shrub",1
"Q47",2011,27,0.25,68.021004,92.148811,0,253.941326844683,NA,"No_shrub",1
"Q47",2011,28,0.25,66.60989,91.707837,0,253.941326844683,NA,"No_shrub",1
"Q47",2011,29,0.25,67.491837,90.605404,0,253.941326844683,NA,"No_shrub",1
"Q47",2011,3,17.8959022897875,36.32631353,40.08430178,0,253.941326844683,NA,"No_shrub",0
"Q47",2011,30,0.25,38.387611,58.987633,0,253.941326844683,NA,"No_shrub",1
"Q47",2011,31,0.25,39.181363,58.767146,0,253.941326844683,NA,"No_shrub",1
"Q47",2011,32,0.25,40.812963,58.678952,0,253.941326844683,NA,"No_shrub",1
"Q47",2011,33,0.25,41.69491,57.532422,0,253.941326844683,NA,"No_shrub",1
"Q47",2011,34,0.25,50.955345,56.959156,0,253.941326844683,NA,"No_shrub",1
"Q47",2011,35,0.25,42.17998,55.856724,0,253.941326844683,NA,"No_shrub",1
"Q47",2011,36,0.25,50.911248,54.092831,0,253.941326844683,NA,"No_shrub",1
"Q47",2011,37,0.25,5.094142,49.771295,0,253.941326844683,NA,"No_shrub",0
"Q47",2011,38,0.25,51.837292,36.498005,0,253.941326844683,NA,"No_shrub",0
