"year","Intercept.yr","logarea.yr","(Intercept)","logarea","W.ARTR","W.HECO","W.POSE","W.PSSP","W.allcov","W.allpts","logarea:W.ARTR","logarea:W.HECO","logarea:W.POSE","logarea:W.PSSP","logarea:W.allcov","logarea:W.allpts"
"1926",-0.860422710694607,-0.285940961643935,1.32780975166484,1.53526203412234,0.00987329822940725,-0.00445281955315186,0.0203030692737352,-1.38345077046747,0.00886643760446826,0.0959182445968622,-0.00173607663443279,-0.0218103531489815,0.0193480991638982,0.0680053737811833,-0.00457046691559549,-0.0294264939572589
"1929",0.753598251634258,-0.130112551293941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1930",-1.32870849931211,0.438218941029932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1931",-0.951706014819455,-0.160742182904615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1932",-0.797891259605439,0.0541172909086633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1933",-1.32171050557296,0.176186141638202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1934",-0.427467784709828,-0.197158935318732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1935",0.122013317771504,0.0868703746467606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1936",-0.00205262331034713,1.22694002935983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1937",0.760226845639554,0.208755195014241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1938",0.492015272116898,-0.020134725426422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1939",0.777733216600049,0.168497183191132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1940",1.02670632721015,0.232145901851839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1941",0.888412900672142,0.654386932887937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1945",0.415860517733294,0.163029910862908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1946",1.1870520780891,-0.0887948258336165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1949",1.15296694417956,0.24789474236646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1950",0.768582634865055,0.144296810466258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1951",-0.132776091397249,-0.0648067347791956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1954",0.256675959623619,0.00798376464690266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1955",-0.475808742140828,-0.202950635396047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1956",-0.434366153515994,-0.562294403027727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2007",-0.750438479945058,-0.544872839957879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2008",0.402687714503722,-0.696773542006464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009",0.0912983087230641,0.00228483785273823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010",0.27081367428629,-0.0378592285947023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011",-0.580164585488144,-0.356379840465947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2012",-0.349868761313367,0.136535011696126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013",-0.356260912704714,-0.638475884382049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014",-1.01932970886225,-0.482640835286937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
